,id,Город / Район,Микрорайон,Количество комнат,Тип аренды,Количество спальных мест,Общая площадь,Площадь кухни,Санузел,Балкон,Обустройство быта,В ванной,На кухне,Кому сдается,Предоплата,Этаж,Этажность дома,Материал стен,Год постройки,Окна выходят,Обустройство дома,Состояние,Адрес,Стоимость,Жилая площадь,Студия,Ремонт,В новостройке,Метро,Возможен обмен,Товары с Куфар Оплатой,Есть проходная комната,Без мебели,Пешком до ближайшей станции,До ближайшей станции на транспорте
0,116057529,Московский,Малиновка,1,Долгосрочная,4,33 м²,8 м²,Раздельный,Есть,"Телевизор, Мебель, Wi-Fi",Стиральная машина,"Холодильник, Посуда/столовые приборы, Газовая плита","С детьми, Парам, Рабочим, С животными",Нет,3,10,Панельный,1998,На улицу,"Лифт, Мусоропровод, Домофон",Вторичное жилье,"Слободской проезд, 24, Малиновка, Московский район, Минск",300 $ *,,,,,,,,,,,
1,115563865,Советский,Сельхозпоселок,1,Долгосрочная,,42 м²,,Совмещенный,Есть,"Телевизор, Мебель, Wi-Fi","Душевая кабина, Стиральная машина","Холодильник, Электрическая плита",Парам,Месяц,16,25,Каркасно-блочный,2017,Во двор,"Лифт, Пандус, Мусоропровод, Огороженная территория, Домофон, Видеонаблюдение",Новое,"Восточная ул, 41, Минск",400 $ *,35 м²,Да,Евро,Да,,,,,,,
2,116054757,Центральный,,1,Долгосрочная,,,,Совмещенный,Нет,,,,,,5,5,,,,,Вторичное жилье,"Веры Хоружей ул, 46/1, Минск",270 $ *,,,,,,,,,,,
3,116052001,Фрунзенский,Домбровка,1,Долгосрочная,2,33 м²,,Совмещенный,,"Мебель, Телевизор","Стиральная машина, Душевая кабина","Электрическая плита, СВЧ-печь, Холодильник",,Месяц,5,9,Панельный,2010,,"Лифт, Домофон",Новое,"Всеволода Игнатовского ул, 12, Минск",300 $ *,,,Дизайнерский,,,,,,,,
4,116049405,Первомайский,,1,Долгосрочная,2,34 м²,8 м²,Раздельный,Лоджия,"Wi-Fi, Мебель",Стиральная машина,"Газовая плита, Холодильник","С детьми, Рабочим, Парам",Месяц,8,9,Панельный,1991,В парк,"Лифт, Мусоропровод, Парковка крытая, Домофон, Видеонаблюдение",Вторичное жилье,"Филимонова ул, 39, Минск",300 $ *,17 м²,,Евро,,Московская,,,,,,
5,115885032,Московский,Юго-Запад,1,Долгосрочная,,,,Раздельный,Есть,"Wi-Fi, Мебель, Телефон, Утюг",Стиральная машина,"Холодильник, СВЧ-печь, Посуда/столовые приборы, Электрическая плита","Студентам, Рабочим",Месяц,8,24,Каркасно-блочный,,,,Вторичное жилье,"Газеты Правда пр, 17, Минск",300 $ *,,,Косметический,,Петровщина,,,,,,
6,116043206,Заводской,Ангарская,1,Долгосрочная,3,43 м²,13 м²,Раздельный,Нет,"Телефон, Мебель, Wi-Fi","Стиральная машина, Душевая кабина","Холодильник, Электрическая плита","Рабочим, Парам",Месяц,1,2,Блочный,2016,Во двор,Огороженная территория,Новое,"Нестерова ул, Минск",240 $ *,20 м²,,Косметический,,,,,,,,
7,116043000,Партизанский,Дражня,1,Долгосрочная,3,34 м²,10 м²,Раздельный,Нет,"Утюг, Телефон, Мебель, Телевизор, Wi-Fi",Стиральная машина,"СВЧ-печь, Холодильник",,Месяц,,,,2016,Во двор,Лифт,Новое,"Солтыса ул, Минск",350 $ *,,Да,Дизайнерский,Да,,Да,,,,,
8,116036657,Центральный,,1,Долгосрочная,4,47 м²,11 м²,Совмещенный,Лоджия,"Утюг, Кондиционер, Мебель, Телевизор, Wi-Fi","Стиральная машина, Душевая кабина","Электрическая плита, Посуда/столовые приборы, Посудомоечная машина, СВЧ-печь, Холодильник",,Месяц,15,24,Монолитный,2018,В парк,"Лифт, Пандус, Огороженная территория, Парковка крытая, Стояночное место, Видеонаблюдение, Домофон",Новое,"Грибоедова ул, 1, Минск",500 $ *,30 м²,,Евро,,Молодежная,,,,,,
9,112927064,Фрунзенский,Красный Бор,1,Долгосрочная,3,41 м²,9.8 м²,Раздельный,Есть,"Мебель, Wi-Fi",Стиральная машина,"Электрическая плита, СВЧ-печь, Холодильник","Рабочим, Парам, С детьми, С животными",Месяц,9,10,Панельный,2014,"Юг, На улицу","Лифт, Домофон",Вторичное жилье,"Одинцова ул, 54, Минск",320 $ *,31 м²,,Дизайнерский,,Каменная горка,,,,,,
10,115850621,Московский,Юго-Запад,1,Долгосрочная,,45 м²,10 м²,Раздельный,Лоджия,"Wi-Fi, Утюг, Телефон, Мебель, Телевизор",Стиральная машина,"Электрическая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник","Рабочим, Парам, С детьми",Залог,23,25,Монолитный,2011,"Юг, Восток","Лифт, Пандус, Стояночное место, Домофон, Видеонаблюдение",Вторичное жилье,"Дзержинского пр, 84, Минск",380 $ *,40 м²,,Евро,,Петровщина,,,,,,
11,115651334,Фрунзенский,Каскад,1,Долгосрочная,4,50 м²,12 м²,Совмещенный,Есть,"Wi-Fi, Телевизор, Мебель, Телефон, Утюг",Стиральная машина,"Холодильник, СВЧ-печь, Электрическая плита","С детьми, Парам",Месяц,5,13,Каркасно-блочный,2012,Во двор,,Новое,"Скрыганова ул, 4Б, Минск",420 $ *,30 м²,,Евро,,Молодежная,,,,,,
12,114691339,Заводской,,1,Долгосрочная,2,32 м²,6 м²,Совмещенный,Нет,"Wi-Fi, Телевизор, Мебель, Утюг","Стиральная машина, Фен, Комплект полотенец","Холодильник, СВЧ-печь, Посуда/столовые приборы, Газовая плита",,,4,5,Кирпичный,1970,Во двор,Домофон,Вторичное жилье,"Плеханова ул, 3, Минск",389 $ *,18 м²,,,,Партизанская,,-,,,,
13,116019548,Заводской,Северный поселок,1,Долгосрочная,,42 м²,15 м²,Раздельный,Нет,"Wi-Fi, Мебель, Телефон","Стиральная машина, Душевая кабина","Холодильник, Электрическая плита","Студентам, Парам",Месяц,1,1,Блочный,2015,,,Вторичное жилье,"Нестерова ул, 25, Минск",240 $ *,42 м²,,Косметический,,,,,,,,
14,115832757,Московский,Малиновка,1,Долгосрочная,,,,Раздельный,Есть,,Стиральная машина,Холодильник,,Залог,1,9,Панельный,,Во двор,,Вторичное жилье,"Слободская ул, 17, Минск",270 $ *,,,Косметический,,,,,,,,
15,112332458,Фрунзенский,,1,Долгосрочная,2,,,Раздельный,Есть,"Wi-Fi, Мебель",Стиральная машина,"Холодильник, Электрическая плита",,2 месяца,,16,Панельный,2016,Во двор,"Лифт, Стояночное место, Домофон, Видеонаблюдение",Вторичное жилье,"Максима Горецкого ул, 20, Минск",320 $ *,,-,Евро,-,,-,-,-,-,,
16,115999015,Фрунзенский,,1,Долгосрочная,,,,Раздельный,Лоджия,"Утюг, Мебель, Wi-Fi, Телевизор",Стиральная машина,"Газовая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник",,Месяц,6,9,,,Во двор,,Вторичное жилье,"Притыцкого ул, 17, Минск",340 $ *,,,Евро,,Пушкинская,,,,,,
17,115993408,Первомайский,,1,Долгосрочная,2,40 м²,,Совмещенный,Есть,"Wi-Fi, Телевизор, Мебель","Душевая кабина, Стиральная машина","Холодильник, СВЧ-печь, Посуда/столовые приборы, Электрическая плита",,Залог,8,25,,2017,Во двор,"Лифт, Пандус, Мусоропровод, Домофон",Вторичное жилье,"Кирилла Туровского ул, 20, Минск",430 $ *,,Да,Дизайнерский,-,Восток,-,-,-,-,,
18,115987807,Первомайский,Восток,1,Долгосрочная,,37 м²,9 м²,Раздельный,Лоджия,"Телефон, Мебель, Wi-Fi",Стиральная машина,"Электрическая плита, Холодильник",Парам,Месяц,2,16,Панельный,,На речку,,Вторичное жилье,"Независимости пр, 131к2, Минск",260 $ *,17 м²,,Косметический,,Восток,,,,,,
19,115980773,Октябрьский,,1,Долгосрочная,,35 м²,7.2 м²,Раздельный,Есть,Мебель,Стиральная машина,"Холодильник, Газовая плита","Парам, Рабочим, Командировочным",2 месяца,3,9,Панельный,1989,На улицу,"Лифт, Пандус, Мусоропровод",Вторичное жилье,"Воронянского ул, 13/1, Минск",330 $ *,17.2 м²,,Евро,,Институт культуры,,,,Да,,
20,115977654,Фрунзенский,Раковское шоссе,1,Долгосрочная,,,,Совмещенный,Нет,"Wi-Fi, Телевизор, Мебель, Телефон, Утюг","Душевая кабина, Стиральная машина","Холодильник, СВЧ-печь, Газовая плита","Студентам, С детьми, Рабочим",Месяц,1,5,Панельный,,,,Вторичное жилье,"Данилы Сердича ул, 8к2, Минск",400 $ *,,,Евро,,Пушкинская,,,,,,
21,112364476,Ленинский,Серебрянка,1,Долгосрочная,3,35 м²,7 м²,Раздельный,Есть,"Мебель, Wi-Fi",Стиральная машина,"Электрическая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник","С детьми, Рабочим, Парам, Студентам",Залог,2,9,Панельный,1990,"Во двор, В парк",,Вторичное жилье,"Якубова ул, 66к2, мкр. Серебрянка, Ленинский район, Минск",290 $ *,19 м²,,Евро,,,,,,,,
22,115965441,Октябрьский,,1,Долгосрочная,2,42.9 м²,10 м²,Совмещенный,Лоджия,"Wi-Fi, Телефон, Мебель",Стиральная машина,"Газовая плита, Холодильник",,Месяц,9,9,Панельный,2018,Юг,,Новое,"Майская ул, 22, агрогородок Прилуки, Сеницкий сельсовет, Минский район, Минская область",220 $ *,,,,,,,,,,,
23,115474006,Первомайский,,1,Долгосрочная,,28 м²,7 м²,Совмещенный,,"Мебель, Телефон, Телевизор",,"Газовая плита, Холодильник",,,2,3,Кирпичный,,,,Вторичное жилье,"Кузьмы Чорного ул, 8А, Минск",250 $ *,16.4 м²,,,,Академия наук,,,,,,
24,115960424,Заводской,,1,Долгосрочная,,34 м²,7.2 м²,Раздельный,Лоджия,"Телефон, Мебель, Телевизор",,"Электрическая плита, СВЧ-печь, Холодильник",,Месяц,3,9,Панельный,,,,Вторичное жилье,"Шишкина ул, 26, Минск",250 $ *,17 м²,,,,,,,,,,
25,115938275,Центральный,,1,Долгосрочная,,,,,Есть,"Мебель, Wi-Fi",Душевая кабина,"Газовая плита, СВЧ-печь, Холодильник","Командировочным, Парам, С детьми, Студентам",Залог,3,,Кирпичный,,,,Вторичное жилье,"Нововиленский пер., 4, Минск",450 $ *,,Да,Евро,,,,,,,,
26,115931612,Заводской,,1,Долгосрочная,,30 м²,5 м²,Совмещенный,Есть,,,,,,2,5,,,,,Вторичное жилье,"Народная ул, 8, Минск",230 $ *,,,Косметический,,,,,,,,
27,115930457,Фрунзенский,Каменная Горка,1,Долгосрочная,2,41 м²,11 м²,Раздельный,Лоджия,"Мебель, Wi-Fi",,"Электрическая плита, Холодильник","Парам, С детьми",Месяц,7,14,Каркасно-блочный,2014,Во двор,"Лифт, Домофон",Вторичное жилье,"Нёманская ул, 45, Минск",250 $ *,17 м²,,Косметический,,,,,,,,
28,115921429,Советский,Комаровка,1,Долгосрочная,4,42 м²,6 м²,Совмещенный,Есть,"Мебель, Телевизор, Wi-Fi",Стиральная машина,"Газовая плита, СВЧ-печь, Холодильник","Парам, С детьми, С животными, Студентам",Месяц,4,5,Кирпичный,1964,На улицу,"Подвал, Стояночное место",Вторичное жилье,"Машерова пр, 14, Минск",350 $ *,28 м²,,Евро,,Площадь Победы,,,,,,
29,115920540,Советский,,1,Долгосрочная,,,,,Есть,"Утюг, Телефон, Мебель, Wi-Fi","Комплект полотенец, Стиральная машина","Газовая плита, Посуда/столовые приборы, Холодильник",,,2,5,Кирпичный,,,,Вторичное жилье,"Платонова ул, 31, Минск",320 $ *,,,Евро,,Площадь Якуба Коласа,,,,,,
30,111015841,Фрунзенский,,1,Долгосрочная,,48.6 м²,13 м²,Раздельный,Есть,Мебель,Стиральная машина,"Холодильник, Электрическая плита",Парам,Месяц,3,16,Панельный,2016,На улицу,,Вторичное жилье,"Академика Карского ул, 8, Минск",300 $ *,18 м²,,Косметический,Да,,,,,,,
31,115903876,Фрунзенский,Домбровка,1,Долгосрочная,1,44 м²,9 м²,Раздельный,Лоджия,Мебель,Стиральная машина,"Электрическая плита, Холодильник",Парам,Месяц,7,9,Панельный,2010,На улицу,"Домофон, Лифт",Вторичное жилье,"Всеволода Игнатовского ул, 14, Минск",250 $ *,18 м²,,Евро,,,,,,,,
32,115891490,Советский,,1,Долгосрочная,2,28.6 м²,7 м²,Раздельный,Лоджия,"Телефон, Мебель, Телевизор",Стиральная машина,"Газовая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник","Парам, С детьми, Студентам",2 месяца,7,9,Панельный,1983,Во двор,"Лифт, Домофон",Вторичное жилье,"Платонова ул, 21, Минск",270 $ *,12.1 м²,,Косметический,,Площадь Якуба Коласа,,,,,,
33,115886512,Фрунзенский,Запад,1,Долгосрочная,,,,Раздельный,Лоджия,"Мебель, Телевизор",Стиральная машина,"Электрическая плита, СВЧ-печь, Холодильник",Парам,Месяц,12,12,Кирпичный,,На улицу,"Лифт, Мусоропровод, Стояночное место, Домофон",Вторичное жилье,"Лобанка ул, 17, Минск",260 $ *,17.4 м²,,Косметический,,,,,,,,
34,115885928,Советский,,1,Долгосрочная,,,,Раздельный,Есть,"Wi-Fi, Мебель, Телефон",Стиральная машина,"Холодильник, СВЧ-печь, Газовая плита","С детьми, Парам",Нет,2,,,,,,Вторичное жилье,"Сурганова ул, 57, Минск",350 $ *,,,Евро,,,,,,,,
35,114209859,Ленинский,Лошица,1,Долгосрочная,,43 м²,10 м²,Раздельный,Лоджия,"Wi-Fi, Мебель, Телефон",Стиральная машина,"Холодильник, Электрическая плита",,,8,15,Панельный,2006,Во двор,"Лифт, Пандус, Мусоропровод, Стояночное место, Домофон",Вторичное жилье,"Прушинских ул, 14, мкр. Лошица, Ленинский район, Минск",260 $ *,20 м²,,,,,,,,,,
36,115875225,Советский,Комаровка,1,Долгосрочная,1,,,Раздельный,Лоджия,"Утюг, Мебель, Телевизор, Wi-Fi","Фен, Комплект полотенец, Стиральная машина","Газовая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник","Парам, Студентам, С детьми",Месяц,2,9,Панельный,,На улицу,"Лифт, Пандус, Стояночное место, Домофон",Вторичное жилье,"Кульман ул, 32, Минск",420 $ *,,,Евро,,,,,,,,
37,115869871,Московский,Юго-Запад,1,Долгосрочная,2,31 м²,,Раздельный,Лоджия,"Телефон, Мебель, Wi-Fi","Стиральная машина, Джакузи","Электрическая плита, Холодильник",,Залог,5,9,Кирпичный,,Во двор,"Лифт, Мусоропровод, Домофон",Вторичное жилье,"Газеты Звязда пр, 9, Минск",280 $ *,17 м²,,Косметический,,Петровщина,,,,,,
38,115861976,,,1,Долгосрочная,1,40.5 м²,9.3 м²,Раздельный,Лоджия,,Стиральная машина,"Электрическая плита, Холодильник",,Месяц,8,10,Панельный,2011,Во двор,,Вторичное жилье,"Лесной, Боровлянский сельсовет, Минский район, Минская область",350 $ *,17.6 м²,,Евро,,,,,,,,
39,115852932,Первомайский,Восток,1,Долгосрочная,,,,Раздельный,Есть,"Утюг, Телефон, Мебель, Телевизор","Стиральная машина, Душевая кабина","Электрическая плита, Холодильник","Парам, С детьми, С животными",Месяц,8,9,Панельный,1970,На улицу,"Лифт, Домофон",Вторичное жилье,"Независимости пр, 157, Минск",320 $ *,,,Косметический,,Восток,,,,,,
40,115848853,Фрунзенский,Домбровка,1,Долгосрочная,,,,Раздельный,Есть,,Стиральная машина,Холодильник,,Месяц,,,,,,,Вторичное жилье,"Аладовых ул, 5, мкр. Домбровка-6, Минск",280 $ *,,,,,,,,,,,
41,115846829,Заводской,Ангарская,1,Долгосрочная,,33 м²,8 м²,Раздельный,Есть,"Мебель, Телефон",Стиральная машина,"Холодильник, Газовая плита","С детьми, Парам, Рабочим",Нет,9,9,Панельный,1975,Юг,"Лифт, Пандус, Мусоропровод, Домофон",Вторичное жилье,"Герасименко ул, Минск",230 $ *,17 м²,,Косметический,,,,,,,,
42,115843971,Первомайский,,1,Долгосрочная,,43 м²,9 м²,Раздельный,Лоджия,Кондиционер,Стиральная машина,"Электрическая плита, Холодильник",,Месяц,9,19,Панельный,2007,Во двор,"Лифт, Домофон, Стояночное место, Видеонаблюдение",Вторичное жилье,"Парниковая ул, 13, Минск",280 $ *,18 м²,,Евро,,Московская,,,,Да,,
43,115839972,Партизанский,Пулихова,1,Долгосрочная,,30.6 м²,5.7 м²,Совмещенный,Есть,,,,,,4,4,Панельный,,,,Новое,"Антоновская ул, 8, Минск",380 $ *,19 м²,,,,,,,,,,
44,115839413,Октябрьский,,1,Долгосрочная,3,30 м²,,Совмещенный,Лоджия,"Wi-Fi, Телевизор, Мебель",Стиральная машина,"Холодильник, СВЧ-печь, Электрическая плита",Парам,Залог,2,22,Каркасно-блочный,2020,На улицу,Лифт,Новое,Минск Братская ул. 12,300 $ *,,Да,Евро,Да,,,,,,,
45,115834114,Центральный,Веснянка,1,Долгосрочная,,,,,,"Wi-Fi, Телевизор",Стиральная машина,Холодильник,,,,,,,,,Вторичное жилье,"Леси Украинки ул, Веснянка, Минск",200 $ *,,,Косметический,,,,,,,,
46,115832540,Партизанский,,1,Долгосрочная,2,,,Раздельный,Есть,"Телефон, Мебель, Wi-Fi",Стиральная машина,"СВЧ-печь, Холодильник",,Месяц,,,,,,,Вторичное жилье,"Партизанский пр, 41А, Минск",200 $ *,,,Косметический,,,,,,,,
47,109931122,Ленинский,,1,Долгосрочная,,35 м²,,Раздельный,Лоджия,"Wi-Fi, Телевизор, Мебель",Стиральная машина,"Холодильник, СВЧ-печь, Посуда/столовые приборы, Электрическая плита",,Месяц,9,12,Кирпичный,1988,"На речку, Во двор","Лифт, Домофон",Вторичное жилье,"Денисовская ул, 41/2, Минск",280 $ *,17 м²,,Евро,,,,,,,,
48,114537650,Первомайский,Восточный,1,Долгосрочная,,45 м²,9 м²,Раздельный,Лоджия,"Wi-Fi, Мебель",,Электрическая плита,"С детьми, Парам",Месяц,14,19,Панельный,2018,Во двор,"Лифт, Пандус, Домофон, Видеонаблюдение",Вторичное жилье,"Героев 120-й Дивизии ул, 2, Минск",260 $ *,18 м²,,Косметический,,Уручье,,-,,,,
49,115808827,Советский,Зеленый луг,1,Долгосрочная,2,34 м²,7 м²,Раздельный,Лоджия,Мебель,Стиральная машина,"Электрическая плита, СВЧ-печь, Холодильник",,Месяц,6,9,Кирпичный,,,,Вторичное жилье,"Мирошниченко ул, 7, Минск",300 $ *,27 м²,,Евро,,,,,,,,
50,115804505,Фрунзенский,Харьковская,1,Долгосрочная,,29.6 м²,,Раздельный,Нет,Мебель,,"Холодильник, Электрическая плита",Парам,Месяц,8,9,,,,"Лифт, Домофон",Вторичное жилье,"Пономаренко ул, 32, Минск",250 $ *,11.3 м²,,,,,,,,,,
51,115797787,Советский,Зеленый луг,1,Долгосрочная,,32.9 м²,7 м²,Раздельный,Есть,"Wi-Fi, Телевизор, Мебель, Телефон",Стиральная машина,"Холодильник, Посуда/столовые приборы, Газовая плита",,Месяц,2,9,Панельный,,Во двор,"Лифт, Мусоропровод, Домофон",Вторичное жилье,"Мирошниченко ул, 49, Минск",200 $ *,17.1 м²,,Косметический,,,,,,,,
52,115794906,,,1,Долгосрочная,1,32 м²,,Совмещенный,Лоджия,Мебель,"Стиральная машина, Душевая кабина","Электрическая плита, Холодильник",,Месяц,17,22,Каркасно-блочный,2020,На улицу,"Лифт, Домофон, Видеонаблюдение",Новое,"Небесная ул, деревня Копище, Боровлянский сельсовет, Минский район, Минская область",380 $ *,,Да,Евро,,,,,,,,
53,115794594,Советский,,1,Долгосрочная,,33.1 м²,7.4 м²,Раздельный,,,,,,,5,9,Панельный,,,,Новое,"Сурганова ул, 49, Минск",230 $ *,16.7 м²,,,,,,,,,,
54,115789535,Фрунзенский,Сухарево,1,Долгосрочная,,,,Раздельный,Лоджия,Мебель,Стиральная машина,"Посуда/столовые приборы, Электрическая плита, Холодильник",Парам,Залог,5,,Панельный,,Во двор,,Вторичное жилье,"Янковского ул, 13, Минск",310 $ *,,,Косметический,,,,,,,,
55,115788612,Московский,,1,Долгосрочная,2,,,Совмещенный,Есть,"Мебель, Телефон",Стиральная машина,"Холодильник, Посуда/столовые приборы, Газовая плита",,Месяц,5,5,Кирпичный,,,,Вторичное жилье,"Карла Либкнехта ул, Минск",230 $ *,,,Косметический,,Грушевка,,,,,,
56,115788550,Фрунзенский,Харьковская,1,Долгосрочная,2,,,Совмещенный,Лоджия,Мебель,Стиральная машина,"Газовая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник","Рабочим, С детьми, Парам, Студентам",Месяц,2,5,,,Во двор,"Стояночное место, Домофон",Вторичное жилье,"Болеслава Берута ул, 16к3, Минск",300 $ *,,,Евро,,Пушкинская,,,,,,
57,115787747,Фрунзенский,Раковское шоссе,1,Долгосрочная,,,,,Есть,"Утюг, Мебель, Wi-Fi",,"Газовая плита, Кофеварка, Холодильник",,2 месяца,,,Панельный,,Во двор,,Вторичное жилье,"Пушкина пр, 47, Минск",340 $ *,,,Евро,,Пушкинская,,,,,,
58,115785386,Московский,,1,Долгосрочная,,30 м²,,Раздельный,Есть,"Wi-Fi, Телевизор, Мебель, Телефон, Утюг",Стиральная машина,"Холодильник, СВЧ-печь, Посуда/столовые приборы, Газовая плита",,Месяц,9,9,Кирпичный,,,,Вторичное жилье,"Розы Люксембург ул, 80, Минск",299 $ *,,,Косметический,,,,,,,,
59,115577889,Заводской,Чижовка,1,Долгосрочная,2,33.1 м²,6 м²,Совмещенный,Лоджия,"Мебель, Wi-Fi, Телевизор",Стиральная машина,"Газовая плита, Холодильник",Парам,Месяц,2,5,Кирпичный,1971,Во двор,Домофон,Вторичное жилье,"Уборевича ул, 26, Чижовка, Минск",250 $ *,18.2 м²,,Евро,,,,,,,,
60,115775021,Московский,,1,Долгосрочная,,,,Раздельный,,Телевизор,Стиральная машина,Холодильник,,,10,,Панельный,,,,Вторичное жилье,"Рафиева ул, 94, Минск",230 $ *,,,,,,,,,,,
61,115772904,Советский,,1,Долгосрочная,,31 м²,7.2 м²,Раздельный,Лоджия,"Мебель, Wi-Fi",Стиральная машина,,,,,,,,,,Вторичное жилье,"Куйбышева ул, 95, Минск",230 $ *,17 м²,,Косметический,,,,,,,,
62,115772099,Московский,Юго-Запад,1,Долгосрочная,,,,,,"Мебель, Wi-Fi",Стиральная машина,Холодильник,,,,,,,,,Вторичное жилье,"Голубева ул, Минск",200 $ *,,,Косметический,,Петровщина,,,,,,
63,114382907,Центральный,,1,Долгосрочная,2,31.5 м²,5.8 м²,Совмещенный,Есть,"Телевизор, Мебель, Утюг",Стиральная машина,"Холодильник, СВЧ-печь, Посуда/столовые приборы, Газовая плита",Парам,2 месяца,3,5,Панельный,,"Во двор, На улицу, Юг, Восток",Домофон,Вторичное жилье,"Азизова ул, 8, Минск",270 $ *,19 м²,,Косметический,,,,,,,,
64,115770213,Центральный,Лебяжий,1,Долгосрочная,,43.3 м²,11.4 м²,Совмещенный,Лоджия,,,,,,8,9,Панельный,,,,Новое,"Мястровская ул, 15, Минск",500 $ *,19.3 м²,,,,,,,,,,
65,115769988,Фрунзенский,Домбровка,1,Долгосрочная,1,30.5 м²,7 м²,Совмещенный,Лоджия,"Телефон, Мебель, Wi-Fi","Стиральная машина, Душевая кабина","Электрическая плита, СВЧ-печь, Холодильник",,2 месяца,5,9,Блочный,2010,,,Вторичное жилье,"Всеволода Игнатовского ул, 12, Минск",290 $ *,,,Косметический,,,,,,,,
66,113745187,Ленинский,Лошица,1,Долгосрочная,3,40 м²,9 м²,Раздельный,Есть,Мебель,"Стиральная машина, Душевая кабина","Газовая плита, Холодильник",Парам,2 месяца,9,9,Панельный,2005,Во двор,"Лифт, Домофон, Видеонаблюдение",Вторичное жилье,"Прушинских ул, 72, мкр. Лошица, Ленинский район, Минск",260 $ *,18 м²,,Евро,,,,,,,,
67,115767115,Советский,,1,Долгосрочная,2,42 м²,9 м²,Совмещенный,Лоджия,"Утюг, Телефон, Мебель, Телевизор, Wi-Fi",,"Электрическая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник",,,13,17,Монолитный,2009,Во двор,"Лифт, Огороженная территория, Домофон, Видеонаблюдение, Парковка крытая, Стояночное место",Новое,"Кропоткина ул, 84, Минск",290 $ *,27 м²,,,,,,,,,,
68,115766802,Фрунзенский,Каскад,1,Долгосрочная,,48.3 м²,14 м²,Совмещенный,Лоджия,,,,,,21,25,Панельный,,,,Новое,"Скрыганова ул, 4Б, Минск",400 $ *,19.8 м²,,,,Молодежная,,,,,,
69,115766783,Фрунзенский,Каскад,1,Долгосрочная,,48.3 м²,14 м²,Совмещенный,Лоджия,,,,,,21,25,Панельный,,,,Новое,"Скрыганова ул, 4Б, Минск",400 $ *,19.8 м²,,,,Молодежная,,,,,,
70,115761844,Октябрьский,Курасовщина,1,Долгосрочная,,39 м²,7 м²,Раздельный,Есть,"Wi-Fi, Мебель, Утюг",Стиральная машина,"Газовая плита, СВЧ-печь, Холодильник",,,3,5,Кирпичный,1990,Во двор,Домофон,Вторичное жилье,"Казинца ул, 37, Минск",280 $ *,32 м²,,Евро,,,,,,,,
71,115757291,Советский,Сельхозпоселок,1,Долгосрочная,,50 м²,,Совмещенный,Лоджия,"Кондиционер, Мебель, Телевизор, Wi-Fi",Стиральная машина,"Электрическая плита, Посуда/столовые приборы, Посудомоечная машина, СВЧ-печь, Холодильник",,2 месяца,10,12,Каркасно-блочный,2014,,"Лифт, Огороженная территория, Домофон, Видеонаблюдение",Новое,"Леонида Беды ул, 45, Минск",530 $ *,30 м²,Да,Дизайнерский,Да,,,,,,,
72,115754007,Октябрьский,,1,Долгосрочная,1,37 м²,,Совмещенный,Лоджия,"Мебель, Телевизор, Wi-Fi",Стиральная машина,"Посуда/столовые приборы, Газовая плита, Холодильник",Парам,Месяц,3,9,Панельный,1999,В парк,"Лифт, Домофон",Вторичное жилье,"Левкова ул, 15, Минск",300 $ *,,,Косметический,,,,,Да,,,
73,113561789,Советский,,1,Долгосрочная,,40 м²,,Раздельный,Есть,,,,Парам,Месяц,4,10,Панельный,2020,На улицу,,Новое,"Братьев Райт ул, деревня Копище, Боровлянский сельсовет, Минский район, Минская область",340 $ *,,Да,Строительная отделка,Да,,,,,Да,,
74,115747524,Первомайский,Уручье,1,Долгосрочная,1,52 м²,10 м²,Раздельный,Есть,,,,,,,,Каркасно-блочный,,Во двор,,Новое,"Независимости пр, 168/1, Минск",338 $ *,27 м²,,,,Уручье,,,,,,
75,115745415,Заводской,,1,Долгосрочная,,31.9 м²,5.7 м²,Совмещенный,,,,,,,2,5,Панельный,,,,Новое,"Яна Райниса ул, 9, Минск",250 $ *,19.3 м²,,,,,,,,,,
76,115741867,Первомайский,Зеленый луг,1,Долгосрочная,1,37 м²,7 м²,Раздельный,Лоджия,"Телефон, Мебель, Wi-Fi",Стиральная машина,"Газовая плита, Холодильник","Командировочным, Рабочим, Парам, С детьми, С животными, Студентам",,8,9,Панельный,,,"Лифт, Мусоропровод, Домофон",Вторичное жилье,"Тикоцкого ул, 26, мкр. Зелёный Луг-5, мкр. Зелёный Луг, Минск",220 $ *,17 м²,,,,,,,,,,
77,115739789,Первомайский,Восточный,1,Долгосрочная,1,45.5 м²,9.3 м²,Раздельный,Лоджия,Мебель,,Электрическая плита,,Нет,17,19,Панельный,2019,Юг,"Лифт, Стояночное место, Домофон, Видеонаблюдение",Вторичное жилье,"Героев 120-й Дивизии ул, 2, Минск",250 $ *,31.5 м²,,Строительная отделка,Да,Уручье,,,,,,
78,115735768,Фрунзенский,Сухарево,1,Долгосрочная,,,,Раздельный,Есть,"Мебель, Wi-Fi",,"Электрическая плита, Холодильник",Парам,,,,Кирпичный,,Во двор,Лифт,Вторичное жилье,"Сухаревская ул, 38к2, Минск",240 $ *,,,Косметический,,,,,,,,
