,id,Город / Район,Микрорайон,Количество комнат,Тип аренды,Количество спальных мест,Общая площадь,Площадь кухни,Санузел,Балкон,Обустройство быта,В ванной,На кухне,Кому сдается,Предоплата,Этаж,Этажность дома,Материал стен,Год постройки,Окна выходят,Обустройство дома,Состояние,Адрес,Стоимость,Жилая площадь,Студия,Ремонт,В новостройке,Метро,Возможен обмен,Товары с Куфар Оплатой,Есть проходная комната,Без мебели,Пешком до ближайшей станции,До ближайшей станции на транспорте
424,112208875,Московский,,1,Долгосрочная,3,38 м²,,Раздельный,Лоджия,"Wi-Fi, Телевизор, Телефон, Мебель",Стиральная машина,"Холодильник, Посуда/столовые приборы, Газовая плита",,,3,10,,2015,Во двор,Лифт,Вторичное жилье,"Академика Карского ул, 15, Минск",300 $ *,,-,,-,,-,-,-,-,,
425,112207986,Советский,Комаровка,1,Долгосрочная,,,,Раздельный,Лоджия,"Wi-Fi, Телевизор, Мебель, Утюг",Стиральная машина,"Холодильник, СВЧ-печь, Газовая плита",,Месяц,3,,Кирпичный,,,,Вторичное жилье,"Максима Богдановича ул, 62, Минск",300 $ *,,,Косметический,,,,,,,,
426,112205056,Заводской,Чижовка,1,Долгосрочная,,36.6 м²,7.8 м²,Раздельный,Лоджия,,,,,,3,5,Панельный,,,,Новое,"Уборевича ул, 172, Чижовка, Минск",400 $ *,17.8 м²,,,,,,,,,,
427,112154043,Центральный,Веснянка,1,Долгосрочная,2,50 м²,10.8 м²,Раздельный,Лоджия,"Wi-Fi, Телевизор, Телефон, Утюг, Мебель",,"Холодильник, Посуда/столовые приборы, Электрическая плита",,2 месяца,5,20,,,"Во двор, Восток","Лифт, Домофон",Вторичное жилье,"Леси Украинки ул, Веснянка, Минск",250 $ *,38 м²,-,Косметический,-,,-,-,-,-,,
428,112118622,Ленинский,,1,Долгосрочная,1,,,Раздельный,Есть,"Wi-Fi, Телевизор, Мебель, Телефон",Стиральная машина,"Холодильник, СВЧ-печь, Газовая плита","Парам, Рабочим",Нет,2,8,,2006,На улицу,"Лифт, Мусоропровод, Домофон",Вторичное жилье,"Ленинский район, Минск",250 $ *,,,Евро,,,,-,,,,
429,112105622,Центральный,Лебяжий,1,Долгосрочная,4,28 м²,,Совмещенный,Лоджия,"Wi-Fi, Телевизор, Телефон, Утюг, Мебель","Душевая кабина, Стиральная машина","Холодильник, Посудомоечная машина, Посуда/столовые приборы, Электрическая плита",,,3,9,Каркасно-блочный,2015,Во двор,"Лифт, Огороженная территория, Парковка крытая, Домофон, Видеонаблюдение",Вторичное жилье,"Победителей пр, 125, Минск",380 $ *,,Да,Евро,-,,-,-,-,-,,
430,112103994,Центральный,Заславская,1,Долгосрочная,,41 м²,,Раздельный,Лоджия,,,,,,5,12,Кирпичный,,,Лифт,Вторичное жилье,"Заславская ул, 19, Минск",330 $ *,41 м²,-,Косметический,-,Фрунзенская,-,-,-,-,,
431,108221506,Московский,Брилевичи,1,Долгосрочная,5,45 м²,10 м²,Раздельный,Лоджия,"Утюг, Wi-Fi, Телевизор, Телефон, Мебель","Комплект полотенец, Стиральная машина","Холодильник, СВЧ-печь, Посуда/столовые приборы, Электрическая плита","Парам, С детьми",Залог,2,18,Панельный,2008,Во двор,"Лифт, Пандус, Мусоропровод, Домофон, Видеонаблюдение",Вторичное жилье,,350 $ *,18 м²,,Евро,,Малиновка,,,,,,
432,112090414,Центральный,Лебяжий,1,Долгосрочная,,41.5 м²,10.1 м²,Совмещенный,Лоджия,,,,,,13,17,Панельный,2015,,,Новое,,330 $ *,17.6 м²,,,,,,,,,,
433,112058486,Первомайский,,1,Долгосрочная,,67.9 м²,,Совмещенный,Лоджия,,,,,,7,11,Панельный,2013,,,Новое,,500 $ *,61.6 м²,,Евро,,Восток,,,,,,
